,index,종류별,상황별,재료별,방법별,제목,url,조회수,셰프,인분,조리시간,난이도,재료,인트로,조리순서,해시태그
618,619,밥/죽/떡,일상,해물류,끓이기,티아시아 분말 커리로 새우커리 만드는법,https://www.10000recipe.com/recipe/7006946,948,Tina소울푸드,4,30분 이내,초급,"['티아시아 분말 커리 1팩', '냉동 새우 200g', '감자 1개', '양파 1개', '당근 7cm', '애호박 10cm', '느타리버섯 10가닥', '우유 600ml']",허비가 티아시아 레트르 제품 1인분 커리를 사왔는데 원래 인스턴트로 다 조리된 음식 별로 안좋아해서 방치해놓고 있었는데 날도 덥고 급하게 차려야 해서 냄비에 데워서 차려주고 조금 먹어봤더니 완전 꿀맛. 커리의 신세계를 보는 기분이었어요. 정말 동남아 현지에서 먹는 카레맛이 나는 거 같았어요. 제가 좋아하는 태국 커리 맛이 나는 거예요. 그날 이후로 오뚜* 카레에서 티아시아 커리로 갈아 탔어요. 어떻게 사랑이 변하냐? 변하더라구요. 나중에 마트 가서 사려고 봤더니 분말 제품도 있더라구요. 그건 4인분용이었어요. 물론 재료 따로 준비해 조리해야 하지만요. 역시 분말로 해도 그 맛이 나더라구요. 코코넛 밀크 넣고 만든 태국커리 넘 좋아해서 커리 만들때 코코넛 밀크를 넣거나 없으면 생크림 넣고 만드는데 딱 그 맛이 나는 거 같아요. 물 대신 우유로 끓여 영양가도 높였어요. 우유가 완전 식품이니 우유넣고 끓인 커리도 완전식품이겠죠? 우유 말고도 더 많은 채소와 새우가 들어 갔으니 더 완전한 식품이겠네요 .^^ 영양적으로 완전한 커리 완성! 새우가 탱글탱글 씹히는 식감이 넘 좋아요.^^ 밥 한그릇 뚝딱. 여름철 집나간 입맛이 후다닥 돌아올 맛이예요.^^,"['1. 냉동새우는 물에 담가 해동해 주세요. (취향이나 냉장고 상황에 따라 다른 고기를 활용해도 좋아요~) 야채를 씻어 깍뚝썰기 해서 준비해 주세요.', '2. 오일을 넉넉히 두르고 호박 제외한 야채 넣고 볶아주세요. 호박은 금방 익으니 나중에 넣어요.', '3. 2분 정도 볶다가 우유를 넣고 호박을 넣고 재료를 푹 익혀 주세요. 물을 넣고 끓이거나 물과 우유를 적당량 섞어서 사용해도 돼요.', '4. 재료가 거의 익었을 때 쯤 불을 줄여 커리가루를 넣고 잘 섞어 주세요. 불을 줄여야 커리 가루가 뭉치지 않아요. 가루 뭉치는 게 염려되면 우유나 물에 먼저 섞어서 넣어줘도 좋아요. 원하는 농도를 보면서 취향 대로 물이나 우유 추가해도 돼요.', '5. 새우를 넣어 주세요.', '6. 한소끔 끓고 새우가 익으면 불을 꺼주세요. 새우를 오래 끓이면 단단해져서 맛이 없어요.', '7. 그릇에 밥을 원하는 만큼 담고 커리를 얹어 내주세요.']","['티아시아커리', '태국커리', '코코넛밀크커리맛', '티아시아분말커리', '티아시아레트로', '집나간입맛찾아줍니다', '완전식품', '밀크커리', '새우커리', '새우카레', '밀크카레']"
619,620,밥/죽/떡,일상,해물류,끓이기,전복죽,https://www.10000recipe.com/recipe/7016070,838,띵띵이,4,10분 이내,초급,"['전복 10개', '양파 1/2개', '당근 조금', '마늘 2T', '시금치 조금', '버터 조금', '소금 조금', '후추 조금', '찹쌀 1컵', '쌀 1컵']",야채잔뜩 전복 듬쁨 풍성한 죽이 만들고 싶다,"['1. 양파,당근을 작은 크기로 잘라주세요. 마늘은 다져 주세요.도마 , 조리용나이프', '2. 전복 내장을 잘게 다져주시고', '3. 전복살을 적당한 크기로 잘라 주세요', '4. 시금치도 작은 크기로 썰어주세요', '5. 냄비에 버터를 녹인 다음 쌀과 찹쌀을 투명해질 때까지 볶아주세요냄비 , 조리주걱', '6. 썰어놓은 양파,당근 , 마늘을 같이 넣구 볶아주세요', '7. 내장도 넣어서 쌀에 색이 입혀질 정도까지 볶아주세요', '8. 야채가 어느정도 익은것 같으면 물을 한컵정도 넣어주고 좀더 볶아주세요', '9. 재료들이 타지 않게 어느정도 야채랑 쌀이 익으면 물을 많이 보충해서 계속 쌀이 터질정도로 20~30분정도 더 끓여주세요', '10. 전복살과 시금치를 넣구 끓으면 소금 후추로 간을 간을 하고 드시면 됩니다.']",['전복죽']
620,621,밥/죽/떡,일상,해물류,끓이기,고형 카레요리 카레라이스 새우카레/요구르트카레 우유카레,https://www.10000recipe.com/recipe/7023097,246,쿡따라,4,20분 이내,초급,"['고형카레 5조각', '칵테일새우 10마리', '감자 2개', '당근 1개', '양파 1개', '애호박 1/3개', '양배추 100g', '다진 소고기 60g', '식용유 약간', '우유 50ml', '요구르트                                                                                65ml ', '물 600ml', '밥 4인분', '청주 1스푼', '버터 1조각', '소금 1꼬집', '후추 1꼬집']","새우, 소고기, 야채등 육해공이 다 들어간 영양가득 품은 새우 올린 요구르트카레입니다","['1. 재료 준비해 주세요~', '2. 냉동새우는 물에 10분 정도 담가 해동 시킨 후 청주 1스푼 뿌려 10분만 재워 두세요~볼청주 없을때는 맛술로 대체!', '3. 양배추, 애호박, 감장, 당근, 양파는 먹기 좋은 사이즈로 썰어 주세요~\n도마 , 조리용나이프 , 스텐트레이', '4. 팬에 버터 1조각 녹인 후 물기 닦은 새우 올려 주고 소금, 후추 약간 뿌려 앞, 뒤 뒤집어 가며 노릇하게 구워 두세요~ 프라이팬 , 요리스푼', '5. 팬에 식용유 두르고 양파 넣고 볶아 양파색이 투명해지면 키친타올에 핏물 닦은 다진 소고기 넣고 볶아 색이 바뀌면 감자, 양파, 애호박, 양배추 순으로 넣어 주세요~', '6. 야채 겉면에 기름 코팅 한다는 생각으로 2분 정도 볶아 주세요~', '7. 카레 재료가 잠길 정도의 물 600ml 정도 붓고 뚜껑 닫고 5분 정도 끓여 주세요~', '8. 고형카레 5조각 넣어 주세요~', '9. 주걱으로 저어가며 카레 멍울이 없도록 곱게 잘 풀어 주세요~', '10. 우유 50ml와 요구르트 1병 넣어 주세요~저만의 카레 맛있게 만드는 꿀팁은 요구르트입니다\n우유는 없으면 패쓰해도 되는데 달달한 요구르트 넣어 주면\n카레 매운맛도 중화되면서 부드럽고 감칠맛이 업 되더라구요~', '11. 한소끔만 후루룩 끓여 마무리하면 요구르트카레 완성입니다', '12. 그릇에 밥 담고 한쪽에 카레와 구운새운 올려주면 카레 전문식당 부럽지 않은 근사한 카레가 완성됩니다국자 , 접시']","['카레라이스', '새우카레', '고형카레요리', '요구르트카레', '우유카레', '카레요리', '새우카레라이스', '카레맛있게만들기', '카레꿀팁', '밥요리']"
621,622,밥/죽/떡,일상,해물류,끓이기,굴무밥짓는법 굴솥밥,https://www.10000recipe.com/recipe/7014595,703,좋아좋아3,3,30분 이내,아무나,"['쌀 1.5인분', '찹쌀 0.5인분', '생굴 1컵', '무 약간', '홍고추 1/2개', '청양고추 1개', '대파 5cm', '간장 1.5T', '참기름 1/3T', '깨가루 1/2T']",제철이라 더 맛있는 굴넣고 굴무밥 지어요 ​ 무쇠솥으로 굴밥짓기 할게요 ​,"['1. 찹쌀 섞어 밥 지을게요 씻어 채에담고 30분 불림 합니다믹싱볼 , 채반', '2. 무는 도톰하게 채썰기해요도마 , 조리용나이프', '3. 무쇠솥에 불린쌀 넣고 무도 담아요 쌀과 물은 1 : 1로 하는데요 오늘은 무가 들어가므로 1컵붓고 2/3컵 더 부었어요무쇠솥', '4. 뚜껑닫고 10분 끓이기 합니다 중불사용해요', '5. 무 살캉하게 익었어요', '6. 굴 넣고 뚜껑덮은 후 7분 끓이고 불 꺼요 10분 뜸들이기 합니다', '7. 홍고추, 청양고추, 대파잎 잘게 썰어 양념장 만들어 둡니다 쪽파 사용하면 좋은데 없어서 대파잎부분 사용 했어요도마 , 조리용나이프']","['굴밥', '굴무밥', '굴솥밥', '무쇠솥밥']"
622,623,밥/죽/떡,일상,해물류,끓이기,전기압력솥 굴밥짓기 ,https://www.10000recipe.com/recipe/7017211,"1,384",좋아좋아3,3,30분 이내,아무나,"['굴 300g', '콩나물 250g', '쌀 3인분']",전기압력솥으로 굴밥 지어요,"['1. 굴은 굵은소금넣고 휘휘 저어 이물질 제거해요믹싱볼 , 채반', '2. 흐르는 물로 서너번 헹궈주면 굴 세척 끝!! 깨~끗 하쥬? ㅎ', '3. 쌀은 씻어서 30분 불려서 사용 합니다 내솥에 씻은 쌀 넣어요전기밥솥', '4. 콩나물 250g 쌀 위에 얹어 줍니다', '5. 오늘의 주인공 생굴 콩나물위에 얹어 줄게요 300g 담았어요 밥물은 평소보다 살짝 적게 잡아요 콩나물에서 수분 나오고 굴도 들어갔으므로..', '6. 백미고압으로 밥 짓기 했어요 27분 후 완성된 굴밥 입니다']","['굴밥', '굴콩나물밥', '전기압력솥', '굴밥짓기']"
623,624,밥/죽/떡,일상,해물류,끓이기,영양만점 전복내장죽,https://www.10000recipe.com/recipe/7020573,462,좋아좋아3,3,20분 이내,아무나,"['전복 6마리', '전복내장 9개', '쌀 1인분', '찹쌀 1인분', '물 1L']",영양만점 별미죽 전복내장죽 입니다,"['1. 쌀, 찹쌀은 씻어서 미리 불려서 사용 합니다 채에 받쳐서 30분 두어요믹싱볼 , 채반', '2. 전복내장은 가위로 자르고 들기름에 볶아 줍니다 전복내장 믹서기로 돌려서 사용해도 되요주방가위 , 냄비 , 요리스푼', '3. 불린 쌀 넣고 잠깐 볶아요', '4. 물 붓고 끓입니다 1L 물 부었어요 물은 한 번에 붓기보다 끓이면서 물양을 조절해도 됩니다', '5. 눌러붙지 않도록 저으며 끓여요', '6. 쌀 퍼지면 썰어둔 전복넣고 한 소끔 끓여요 오래 끓이면 질겨지므로 마지막에 넣고 살짝만 끓여 익혀 줍니다', '7. 맛있는 보양죽 전복내장죽 완성 입니다 간은 따로하지 않고 국간장 냅니다']","['전복죽', '전복내장죽', '보양죽', '영양죽']"
624,625,밥/죽/떡,일상,해물류,끓이기,전복새우솥밥 (누구나 맛나게 만들 수 있는 돌솥밥레시피),https://www.10000recipe.com/recipe/6996483,821,ariel1007,2,30분 이내,초급,"['전복 1개', '새우 3마리', '버터 10g', '쌀 200ml', '물 200ml']","냉동실속에 잠자고 있던 전복과 새우를 꺼내어 간단하게 2인분 솥밥을 만들었습니다
영양밥으로도 좋고 맛과 식감에서 아주 좋습니다","['1. 쌀 200ml를 깨끗하게 씻어 물 200ml를 붓고 30분간 불려준다', '2. 30분 불린 쌀을 중불에 올려 밥을 지어준다중불', '3. 전복 1개에는 칼집을 넣어주고 새우는 손질 후 적당한 크기로 썰어준다전복 손질법 레시피', '4. 버터 10g을 팬에 올려 녹여준다중약불', '5. 전복과 새우를 올려 노릇노릇하게 구워준다중불', '6. 밥이 끓기시작하면 약불로 줄이고 10분간 끓여준다약불', '7. 10분뒤 불을 끄고 버터에 구운 전복과 새우를 올린 후 뚜껑을 덮고 뜸을 들인다', '8. 밥과 골고루 섞어 그릇에 담은 후 물을 붓고 누룽지를 불린다']","['전복요리', '전복버터구이', '전복솥밥', '전복새우솥밥', '솥밥짓기', '솥밥레시피', '영양밥', '한그릇요리', '돌솥밥', '해물돌솥밥']"
625,626,밥/죽/떡,일상,해물류,끓이기,편스토랑 류수영의 빠에야 만들기,https://www.10000recipe.com/recipe/7010808,"6,279",요리재능발견,2,60분 이내,아무나,"['홀 토마토 1캔', '마늘 6톨', '양파 1/2개', '오징어 1마리', '새우 8마리', '씻지 않은 쌀 1.5컵', '올리브유 50ml', '페페론치노 5개', '바질 조금', '치킨스톡 1스푼', '후춧가루 1/3스푼', '소금 조금', '방울토마토 취향껏', '와인 2스푼']",편스토랑에서 류수영 님의 빠에야 만드는 법이 나오네요 홀 토마토 사러 마트마다 다녔는데 품절이더라고요 역시 방송의 힘이 대단해요 빠에야 레시피는 잠시 킵 해 두었다가 오늘에야 홀 토마토를 사 왔어요 저도 스페인 여행 중에 제일 입맛에 맞고 맛있게 먹었던 음식이라서 만들고 싶었는데 류수영 배우님 레시피로 만들어보았어요 파에야(paella)는 쌀과 고기 해산물 채소를 넣고 만든 페인의 쌀 요리로 사프란이 들어가 특유의 노란색을 띠지요아랍 문명의 지배를 받던 중세 시대에 쌀이 스페인으로 처음 유입되면서 파에야와 유사한 음식을 먹기 시작한 것으로 알려져 있으며 19세기에 들어 파에야라는 명칭을 갖게 되었다고 합니다 더불어 판을 이용하여 여러 사람이 함께 먹을 수 있는 스페인의 대표 가정 요리라고 합니다 오늘은 한국식으로 만든 류수영 님 원팬 레시피입니다,"['1. 재료들입니다 재료들만 보아도 맛있을 것 같죠 저도 스페인 여행 때 생각나서 기대됩니다', '2. 마늘은 슬라이스하고 양파는 잘게 썰어줍니다', '3. 새우는 다듬어서 와인 넣고 후추 소금 뿌려 밑간을 해두었어요 오징어도 먹기 좋은 크기로 자릅니다', '4. 그리고 홀 토마토는 가위로 잘라놓고 바질은 씻어서 준비해 주세요 이젠 재료 준비가 다 되었어요', '5. 2L 정도 들어가는 팬을 준비해 주세요 오일 1/4 컵 넣고 마늘 양파에 기름을 내주세요 소금 한 꼬집도 넣으세요 마늘 양파기름은 약불에서 해주세요 썰어놓은 오징어도 놓고 넣고 페페론치노 5개 정도를 넣어주세요 그리고 홀 토마토를 크게 등분하여 넣고 같이 볶아줍니다', '6. 홀 토마토 넣고 소스가 되었으면 씻지 않은 생쌀을 바로 넣아주세요', '7. 쌀을 넣었으면 물 1.000ml를 넣고 12분간 끓여주세요 생살을 넣는 이유는 씻으면 물기를 흡수하지만 바로 소스에 넣으면 물을 흡수하지 않고 소스를 입히기 위해서라고 합니다', '8. 뚜껑을 열고 센 불에서 계속 끓이면서 쌀이 타지 않도록 젓지 말고 밑으로 물이 스며들게 꼭꼭 누르면서 스며 들도록 끓여주세요 빠에야 만들 때 젓지 않는 거라고 하지만 저처럼 냄비가 얇을 경우 타지 않도록 하기 위해서 입니다 그리고 육수 대신 물을 넣어서 치킨스톡도 1스푼 정도 넣고 버터도 같이 넣어서 풍미를 더해줍니다', '9. 12분 정도 지났으면 새우를 박듯이 넣고 중약 불로 줄인 후 뚜껑을 닫고 12분 정도를 뜸 들여주세요중약불로 줄인 후 뚜껑을 닫고 12분정도 뜸을 들여주세요', '10. 취향껏 방울토마토 있으면 크기에 따라 반이나 4등분으로 자른 방울토마토도 준비해요', '11. 뚜껑을 열고 졸이듯 2~5분 정도를 졸인 후 방울토마토와 바질을 넣고 불을 끄고 2분간 뜸을 들여주세요 저는 바질을 미리 뿌려서 바질 색이 변했어요 뜸이 다 들었으면 마지막 바질을 넣으세요 대신 보는 색감은 안 이쁘지만 바질 향이 스며 들어서 더 맛있어요', '12. 시간은 화력과 냄비마다 다르므로 시간은 보시고 가감하세요 저는 스페인에서 먹었을 때 홍합이 들어있었던 기억이 나서 홍합도 넣고 싶었어요 다음에는 홍합도 넣고 두꺼운 무쇠냄비에 만드는 것이 좋을 듯해요']","['편스토랑류수영의빠에야만들기', '편스토랑류수영의빠에야', '빠야에만들기']"
626,627,밥/죽/떡,일상,해물류,끓이기,토마토 새우 카레 아스파라거스 요리 아침 메뉴 건강밥상,https://www.10000recipe.com/recipe/7011198,849,아이해피,,,,"['새우 ', '대파 ', '당근 조금', '감자 1개', '방울토마토 ', '고형카레 ', '물 500~600ml']",토마토 새우 카레 아스파라거스 요리 아침 메뉴 건강밥상,"['1. 이것이 진짜 냉파요리 아닌가 싶어요. 냉동실,냉장실에 있는 채소로만 만들어요. 당근은 채칼로 사용하고 남은걸로 사용했답니다.', '2. 남은 고형카레는 이름을 적어두고 냉동실에 넣어 두었어요. 사용전에 야채와 함께 꺼내 사용하면 편리해요.', '3. 냉동 방울토마토는 실온에 꺼내 놓으면 가위로 쉽게 손질 할 수 있어요. 꼭지 부분만 살짝 잘라주면 껍질이 쏙 빠집니다. 데치지 않아서 좋아요.방울토마토 손질법 레시피', '4. 껍질과 알맹이를 정리하고 가위로 잘라주면 토마토 손질은 끝입니다.토마토 손질법 레시피', '5. 냉동 새우는 실온에 해동시키고 미림, 소주, 청주 등을 한 스푼 넣고 약 10분정도만 재워 둡니다.', '6. 당근과 감자는 깍둑 모양으로 잘라 두었습니다.', '7. 아스파라거스는 필러를 이용해 거친 껍질 부분과 순 부분은 벗겨주고 아랫쪽 3cm 정도 두꺼운 부분도 잘라 줍니다. 감자와 당근 사이즈와 비슷한 길이로 잘라주세요.', '8. 팬에 기름 두르고 파를 먼저 볶아 줍니다. 그리고 양파와 감자를 넣어 섞어주고 물 500ml 를 넣고 뚜껑덮고 센불로 5분정도 익혀 줍니다.', '9. 야채가 거의 익으면 고형 카레를 넣고 뭉치지 않게 녹여 줍니다. 농도를 보고 필요하면 물을 추가해 주세요.', '10. 거의 다 익었을 부렴 토마토와 새우 아스파라거스를 넣고 5분 정도 새우가 다 익을 정도로만 끓여 주세요.', '11. 계란 후라이까지 올려 주면 보기만 해도 입맛 돋는 전문점 느낌나는 카레 완성 입니다. 파슬리가루도 솔솔 뿌려 주었어요. 이렇게 만들어 주면 없던 입맛도 돌아오고 밥 한 그릇 뚝딱 먹게 됩니다.']","['아이해피', '냉동토마토요리', '토마토새우카레', '새우요리', '아스파라거스카레', '아스파라거스요리', '아침메뉴', '건강밥상', '한접시요리', '고형카레', '토마토새우카레레시피', '카레요리']"
627,628,밥/죽/떡,일상,해물류,끓이기,맑은 굴짬뽕 만들기,https://www.10000recipe.com/recipe/6998707,663,요리재능발견,3,30분 이내,초급,"['알배추 6잎', '양파 1/2개', '청경채 3개', '대파 1/2대', '죽순 120g', '느타리버섯 1줌', '목이버섯 1줌', '청양고추 3개', '오징어 몸통 1마리', '굴 180g', '홍합 200g', '국수 면 3개', '마늘 1스푼', '생강 1/2작은스푼', '식용유 3스푼', '굴 소스 1스푼', '치킨스톡 1스푼', '청주 1스푼', '간장 1스푼', '멸치 원액 2스푼', '물 4컵', '홍합육수 1컵', '동남아 고추 5개']","요즘 같은 날씨에는 뜨끈한 국물이 당길 때죠 오랜만에 굴 넣고 백 짬뽕을 주말 점심으로 만들었어요 담백하고 달달한 야채를 넣고 시원하면서 칼칼하게 만들어 보았어요 
겨울이 다 가기 전에 굴과 홍합이 제철일 때 만들어 보세요","['1. 재료를 씻고 다듬어서 준비해요 죽순은 삶아 채 썰어 놓은 것으로 준비했어요', '2. 오징어는 몸통만 칼집을 내어서 1cm 정도로 자릅니다도마 , 요리용나이프', '3. 목이버섯은 물에 불려놓고 동남아 고추도 준비해 주세요\n유리볼', '4. 알배추는 국수처럼 길게 잘라주세요 길게 자르면 국수와 함께 먹기 편해요 양파도 썰고 당근은 넓적하게 썰어놓고 대파도 송송 썰어놓아요 느타리버섯은 한줌 냉장고에 남아서 손으로 찢어 놓았어요 대파와 청양고추도 썰어서 모든 야채는 준비했어요접시', '5. 냉동 중화 면을 1분 정도 삶아주세요 익혀서 얼린 것으로 뜨거운 물에 풀어주기만 해도 졸깃한 중화 면입니다냄비', '6. 식용유를 3스푼 넣고 마늘과 동남아 고추 그리고 대파와 생강도 조금 넣고 노릇하게 파 기름을 내주세요 파 기름이 나왔으면 동남아 고추와 알배추 양파 당근을 넣고 굴 소스 한 스푼과 함께 볶아주세요웍 , 조리용스푼', '7. \ufeff\n야채가 볶아졌으면 청주 1스푼과 간장 1스푼을 가장 자리에 넣고 불향을 내주세요\n\ufeff', '8. \ufeff어느 정도 불 향도 나고 야채가 볶아졌으면 청경채와 죽순도 넣고 물 4컵과 홍합육수 1컵을 넣고 끓여주세요\n\ufeff계량컵', '9. \ufeff끓기 시작하면 홍합을 넣고 멸치 원액 2스푼을 넣고 끓여주세요', '10. \ufeff오징어는 오래 끓이면 질겨지므로 마지막 오징어와 굴을 넣고 한 번 더 끓여주세요 치킨스톡도 1스푼 넣어요\n\ufeff', '11. \ufeff시원한 굴짬뽕이 완성되었어요', '12. \ufeff중화 면을 그릇에 담고 뜨거운 국물로 토렴을 2~3회 해주세요\n\ufeff', '13. \ufeff그릇에 담고 매운 것 좋아하시면 송송 썬 청양고추를 얹어 주세요\n\ufeff면기', '14. \ufeff청양고추 넣어서 매콤함이 더해지고 집에서 만드니 재료들도 푸짐하게 넣어 담백하고 시원한 맛이 일품인 백짬뽕 맛있어요 겨울이 다 가기 전에 굴과 홍합이 제철일 때 만들어 보세요\n\ufeff']","['맑은짬뽕만들기', '백짬뽕만들기', '맑은굴짬뽕만들기', '굴짬뽕만들기']"
628,629,밥/죽/떡,일상,해물류,끓이기,명란솥밥레시피 버터명란솥밥 만드는 법,https://www.10000recipe.com/recipe/7033239,"1,044",스마일로즈의건강밥상,2,30분 이내,초급,"['쌀                                                                                300g ', '명란 2줄', '라꽁비에트 가염버터 150g', '쪽파 5뿌리', '간장 2스푼', '맛술 1스푼', '다진마늘 0.5스푼', '통깨 0.5스푼', '청주 1스푼']","명란솥밥 만드는 법, 버터명란솥밥레시피, 여름별미 명란솥밥만들기, 명란 워낙 좋아하기에 버터명란솥밥으로 주말요리 만들었는데 톡톡 씹히는 명란과 버섯의 고소한 맛이 어우러져 반찬 없이 먹어도 될 만큼 맛있는 명란 솥밥 만들기 지금부터 시작해 보실까요 ​ ​ ​","['1. 깊이 있는 맛을 전하는 가염버터와 명란을 올려 지은 밥은 뚜껑을 여는 순간 녹아드는 고소한 풍미의 버터 향과 명란이 어우러지고 쪽파의 향과 함께 보기만 해도 맛있어 보이지 않나요 양념장 없이 비벼 먹어도 되지만 혹시나 몰라 양념장도 곁들이면 손님 초대요리로도 더할 나위 없지요', '2. 냉동실에 소분해 놓은 명란을 꺼내 먹기 좋게 썰어놓고 청주를 뿌려 밑간을 해줍니다 도마 , 조리용나이프 , 볼 , 숟가락', '3. 쪽파는 쫑쫑 썰어놓았어요쪽파 손질법', '4. 쌀은 미리 씻어 20~30분 불려줍니다. 불린 쌀을 냄비에 넣고 쌀과 동량의 물을 붓고 처음엔 강물로 끓여줍니다 냄비', '5. 솥밥은 불 조절을 잘해야 하는데요 처음엔 강불 끓기 시작하면 중불로 줄여주다가 물이 자작하면 썰어놓은 쪽파와 명란을 올려주고 약불로 줄여 명란이 익었으면 뚜껑 덮은 채로 뜸 들이기를 하면 솥 밭 만들기 어렵지 않아요', '6. 명란이 익고 쪽파를 뿌려 뜸을 들인 후 마지막에 버터를 올려줍니다. 가염버터라 버터와 명란이 들어간 솥밥은 굳이 양념장을 올리지 않아도 될 만큼 간이 되어있어요', '7. 얼마나 고소한 향이 나는지요 쪽파의 향과 함께 고소한 버터 명란 밥입니다', '8. 그대로 솥에 두고 숟가락으로 살살 비벼줍니다. 한 숟가락 떠먹어보니 양념장 없이도 먹을만하네요 양념장 없이도 먹을만하지만 고소한 맛이 배가 될 수 있는 양념간장 한 숟가락 올려 살살 비벼 먹으면 됩니다', '9. 명란솥밥 명란버터솥밥은 여름철 입맛 없을 때 만들어 먹으면 여름 별미 보양식이나 다름없어요 오늘 같은 초복날 삼계탕도 좋지만 한 그릇 요리로 초복 음식으로도 좋아요 맛있게 만들어 드세요~!~']","['명란솥밥', '명란버터밥', '버터명란솥밥레시피', '명란솥밥레시피', '간단명란솥밥', '\u200b']"
629,630,밥/죽/떡,일상,해물류,끓이기,굴 떡국 비법 레시피/ 들깨.굴떡국/ 부추.굴 떡국~/ 별미 떡국,https://www.10000recipe.com/recipe/7041751,144,바른생활미미씨,1,60분 이내,초급,"['생굴 1봉지 110g', '현미 떡국 100g', '멸치 다시육수 500ml', '송화버섯 5~6개', '채 썬 당근 30g', '다진 마늘 1T', '들깨가루 2T', '건 파래 1T', '생부추 40g']","바다의 우유""~라는 굴~로 끓인 굴 떡국을 소개합니다.​바다향 가득한 굴의 육즙이 입안 한가득~ 또 마늘, 부추의 알싸한 향과, 들깨가루의 고소한 풍미가 잘 어우러진.~제철 별미.굴 떡국! 따뜻한 국물요리이자,보양식.떡국으로도 추천합니다.​​

<굴의 효능>
1.당뇨병 개선 효과-비타민A, B1,나이아신,비타민 C 을 함유,특히 무기질인 아연을 다량 함유.
2.빈혈회복과 강장제 역할.
구리,철,마그네슘,요오드 등을 함유.
3.고혈압,뇌출혈 예방 효과
EPA 성분이 혈중 중성지방,콜레스테롤을 저하시킴. DHA는 학습기능향상,혈중 콜레스테롤 함량 저하,항암작용~
4.성인병 예방- 타우린,셀레늄,EPA가 함유되어 고혈압, 동맥경화,심장병 예방에 도움. ​​

​","['1. 생굴 씻기- 찬물에 굴과 굵은소금을 넣고 살살 ~ 흔들어 씻기. ※ 굴 신선도 확인- 굴은 탱탱하고 탄력이 있고, 또 검은 테두리가 선명한 것이 신선한 상태라고 해요~!볼', '2. 생굴 헹구기- 불순물이 생각보다 많아요. 찬물에 넣고 살살~ 흔들면서, 3번 정도 반복해서 맑은 물로 씻기.', '3. 체에 받쳐두기- 깨끗하게 씻은 생굴은 채에 받쳐서 물기 살짝 제거.채반', '4. 기본 재료 준비하기. ( 김 가루, 씻은 굴, 다진 마늘, 버섯, 당근, 부추, 떡국 떡, 들깨 가루 )도마 ,  조리용나이프', '5. 멸치 육수 끓이기-끓는 물500ml에 멸치, 다시마 넣고 끓이다가 거품 살짝 걷고, 건져내기. (다시마는 5분 후, 멸치는 10분 추가로 더 끓이다가 건져내기)냄비 , 숟가락#육수 TIP: 팬에 마른 멸치를 살짝 볶아서 비린내 살짝 제거하기도 하는데, 그냥~팔팔 끓는 물에 멸치 넣어도 O.K! 질 좋은 멸치 듬뿍 넣고, 파, 무, 양파, 버섯 같은 채소 넣으면 맛있어요. !!', '6. 멸치.다시마 육수 준비하기. (동전 육수를 사용하면 더 편리해요~~!)채망', '7. 현미 떡국, 채 썬 당근 넣기※ TIP- 현미 떡국은 흰 멥쌀 떡국보다~빨리 퍼지고 부드러워지기 때문에~ 1분만 끓이다가 다른 재료 후다닥~~다 넣기.', '8. 다진 마늘 (1T)과 씻어 둔 생굴 (110g) 같이 넣기. ※ 마늘향은 굴의 비릿함도 살짝 잡아주고, 들깨가루, 부추, 굴과 잘 어울려요~!', '9. 송화 버섯 넣기 - 버섯은 향을 살리기 위해, 마지막에 넣고 살짝만 끓이기 (표고 버섯도 좋아요) \n※ 송화 버섯- 송이버섯과 표고버섯을 섞은 것 같은 품종 ~! 약간 비싼 편인데 향도 좋고 너무 맛있어요^^ 송이버섯 향이 솔솔~나는데 혹시 마트에 보이면 꼭 사세요~!', '10. 3분 더 끓이기- 거품 살짝 걷어 내면서~3분 정도 보글보글 끓이다가 불 끄기.(중불) ※ 간은 따로 할 필요 없어요. 멸치 육수와 굴 자체의 간이 어느 정도 있어서 짜지 않고 적당했어요.', '11. 들깨가루 넣기 - 불끈 후에, 들깨가루 2T 넣고 잘 저어주기.', '12. 고명 올리기- 먹기 전에 적당하게 썬 생부추 (4~5cm )와 구운 파래 (혹은 구운 김) 적당히 부셔서 올리기 . 완성~!국자 , 면기']","['굴떡국', '들깨.굴떡국', '부추굴떡국', '굴의효능', '보양식떡국', '별미떡국']"
